time,ship_lat,ship_lon,ship_radiation,interpolated_ssi
2017-11-07 04:24:00,9.874947,-125.05054,5.8,136.71339298564462
2017-11-07 04:25:00,9.872245,-125.050934,5.8,136.87052887292433
2017-11-07 04:26:00,9.8695,-125.05115,5.67,137.02551809046744
2017-11-07 04:27:00,9.86682,-125.05115,5.8,137.17735750642487
2017-11-07 04:28:00,9.864122,-125.05092,5.67,137.32624848351466
2017-11-07 04:29:00,9.861466,-125.05043,5.67,137.47151654234392
2017-11-07 04:30:00,9.858796,-125.049805,5.8,137.61506996655453
2017-11-07 04:31:00,9.856097,-125.04921,5.67,137.75915372860118
2017-11-07 04:32:00,9.853438,-125.048645,5.55,137.90344699727675
2017-11-07 04:33:00,9.850722,-125.048065,5.55,138.0478075525606
2017-11-07 04:34:00,9.848072,-125.0475,5.93,138.19205897368767
2017-11-07 04:35:00,9.845429,-125.04692,5.67,138.33608009885387
2017-11-07 04:36:00,9.842791,-125.04636,5.8,138.48034163920502
2017-11-07 04:37:00,9.840129,-125.04578,5.55,138.6244511091962
2017-11-07 04:38:00,9.837522,-125.04521,5.8,138.76843667607898
2017-11-07 04:39:00,9.834857,-125.04465,6.05,138.9128237590764
2017-11-07 04:40:00,9.832216,-125.04405,6.05,139.0565719209642
2017-11-07 04:41:00,9.829561,-125.04347,5.93,139.20064884286205
2017-11-07 04:42:00,9.826921,-125.04289,5.93,139.34465601884534
2017-11-07 04:43:00,9.824274,-125.04225,5.93,139.48790475145287
2017-11-07 04:44:00,9.821763,-125.04123,6.05,139.62551150846357
2017-11-07 04:45:00,9.819308,-125.04004,6.05,139.76061673823054
2017-11-07 04:46:00,9.816881,-125.03885,6.05,139.89559177562342
2017-11-07 04:47:00,9.814499,-125.03761,6.05,140.02969841571507
2017-11-07 04:48:00,9.812114,-125.03627,6.05,140.16250068587433
2017-11-07 04:49:00,9.809869,-125.034836,5.93,140.29341277419573
2017-11-07 04:50:00,9.807734,-125.03314,5.8,140.42035939639487
2017-11-07 04:51:00,9.805937,-125.03113,6.05,140.54159488863007
2017-11-07 04:52:00,9.804341,-125.028854,5.93,140.49956346503916
2017-11-07 04:53:00,9.802848,-125.02658,5.8,140.1240254796702
2017-11-07 04:54:00,9.801726,-125.02403,6.05,139.75024204683615
2017-11-07 04:55:00,9.801256,-125.02133,5.93,139.37531807934715
2017-11-07 04:56:00,9.801437,-125.01854,5.93,138.99850179182437
2017-11-07 04:57:00,9.802044,-125.01581,6.05,138.72018713849238
2017-11-07 04:58:00,9.803075,-125.01318,5.93,138.55095567769763
2017-11-07 04:59:00,9.804469,-125.01074,5.93,138.3798544023344
2017-11-07 05:00:00,9.806356,-125.0087,5.93,138.2060777303282
2017-11-07 05:01:00,9.808664,-125.007065,6.05,138.02995565355764
2017-11-07 05:02:00,9.811197,-125.00581,5.93,137.85242346119722
2017-11-07 05:03:00,9.813873,-125.0049,5.93,137.6738959504936
2017-11-07 05:04:00,9.816624,-125.00432,5.8,137.4947036684606
2017-11-07 05:05:00,9.81945,-125.00406,5.93,137.31485619212123
2017-11-07 05:06:00,9.822349,-125.00415,5.55,137.13433408986185
2017-11-07 05:07:00,9.825191,-125.0045,5.93,136.95382801948193
2017-11-07 05:08:00,9.82802,-125.004974,5.8,136.77326364047713
2017-11-07 05:09:00,9.830783,-125.00572,5.8,136.59274564847294
2017-11-07 05:10:00,9.833514,-125.00673,5.67,136.4121236143481
2017-11-07 05:11:00,9.836047,-125.007996,5.67,136.2321770545089
2017-11-07 05:12:00,9.838496,-125.00954,5.8,136.05235483055418
2017-11-07 05:13:00,9.840801,-125.01123,6.05,135.8730623428448
2017-11-07 05:14:00,9.843009,-125.01312,5.93,135.694029338258
2017-11-07 05:15:00,9.845066,-125.01515,5.8,135.5155643642237
2017-11-07 05:16:00,9.846921,-125.01735,5.93,135.33787582578285
2017-11-07 05:17:00,9.848443,-125.019775,5.93,135.16152016363003
2017-11-07 05:18:00,9.849694,-125.02237,5.8,134.9862617682777
2017-11-07 05:19:00,9.850871,-125.02501,6.05,134.81130435616745
2017-11-07 05:20:00,9.851916,-125.027695,5.8,134.63691761150247
2017-11-07 05:21:00,9.852857,-125.03038,6.05,134.46301443851192
2017-11-07 05:22:00,9.853726,-125.03314,6.05,134.28937421823952
2017-11-07 05:23:00,9.854419,-125.03589,5.93,134.11656192705445
2017-11-07 05:24:00,9.855022,-125.03873,6.05,133.94408191815054
2017-11-07 05:25:00,9.855509,-125.041534,5.93,133.77217575493535
2017-11-07 05:26:00,9.855952,-125.04433,6.05,133.60048184135462
2017-11-07 05:27:00,9.856311,-125.047195,6.05,133.42911242343735
2017-11-07 05:28:00,9.856534,-125.05003,6.43,133.2584040995478
2017-11-07 05:29:00,9.856646,-125.05287,6.43,133.0882071069147
2017-11-07 05:30:00,9.856655,-125.05571,6.31,132.91848903622844
2017-11-07 05:31:00,9.856639,-125.05853,6.56,132.748906362779
2017-11-07 05:32:00,9.856614,-125.06137,6.18,132.57934638283245
2017-11-07 05:33:00,9.856583,-125.06419,6.31,132.40983345529756
2017-11-07 05:34:00,9.856565,-125.06703,6.31,132.2402409272575
2017-11-07 05:35:00,9.856551,-125.0699,6.31,132.0706010692382
2017-11-07 05:36:00,9.856527,-125.07274,6.18,131.90103643956402
2017-11-07 05:37:00,9.85652,-125.07558,6.31,131.73139276451997
2017-11-07 05:38:00,9.856523,-125.07837,6.43,131.56175047731412
2017-11-07 05:39:00,9.856518,-125.081116,6.68,131.39218752683027
2017-11-07 05:40:00,9.85652,-125.08391,6.43,131.22254605854295
2017-11-07 05:41:00,9.856498,-125.086655,6.56,131.0530631111312
2017-11-07 05:42:00,9.856462,-125.0894,6.43,130.88364525990642
2017-11-07 05:43:00,9.856427,-125.09216,6.31,130.71420839341965
2017-11-07 05:44:00,9.856397,-125.094925,6.31,130.54474348978323
2017-11-07 05:45:00,9.856372,-125.0977,6.43,130.3752457604857
2017-11-07 05:46:00,9.856347,-125.10043,6.31,130.20579112779131
2017-11-07 05:47:00,9.856308,-125.103226,6.31,130.03633838293254
2017-11-07 05:48:00,9.856353,-125.106,6.18,129.86651613040254
2017-11-07 05:49:00,9.856454,-125.108795,6.05,129.69641338137663
2017-11-07 05:50:00,9.856553,-125.11159,6.05,129.52631993180597
2017-11-07 05:51:00,9.856667,-125.114395,6.05,129.35614715929785
2017-11-07 05:52:00,9.856768,-125.11722,6.18,129.18601567920317
2017-11-07 05:53:00,9.856819,-125.120026,6.18,129.016134881834
2017-11-07 05:54:00,9.856542,-125.12279,6.18,128.84781941862667
2017-11-07 05:55:00,9.855851,-125.12544,6.18,128.68153812072325
2017-11-07 05:56:00,9.854728,-125.12793,6.05,128.5174187375266
2017-11-07 05:57:00,9.853052,-125.130035,6.18,128.3562393690969
2017-11-07 05:58:00,9.850978,-125.13167,5.93,128.19736071234482
2017-11-07 05:59:00,9.848618,-125.132996,5.93,128.04010780770585
2017-11-07 06:00:00,9.846183,-125.134155,6.18,127.88336356892262
2017-11-07 06:01:00,9.843682,-125.135025,6.05,127.72720298812601
2017-11-07 06:02:00,9.8411,-125.13565,6.31,127.57165367232976
2017-11-07 06:03:00,9.838478,-125.136,6.05,127.41655371376945
2017-11-07 06:04:00,9.835856,-125.13605,6.31,127.26174106589676
2017-11-07 06:05:00,9.833202,-125.1358,6.05,127.10736451999625
2017-11-07 06:06:00,9.830527,-125.13542,6.18,126.95321011967415
2017-11-07 06:07:00,9.827913,-125.13486,6.05,126.79894447237862
2017-11-07 06:08:00,9.825358,-125.13402,6.05,126.6446726477943
2017-11-07 06:09:00,9.822939,-125.13278,6.18,126.49015154116793
2017-11-07 06:10:00,9.820776,-125.13121,6.18,126.33475614602237
2017-11-07 06:11:00,9.818896,-125.12933,6.05,126.17834176566566
2017-11-07 06:12:00,9.817158,-125.12724,6.05,126.0214682414655
2017-11-07 06:13:00,9.815628,-125.12497,6.05,125.86379996032906
2017-11-07 06:14:00,9.814197,-125.12259,6.05,125.7057767034085
2017-11-07 06:15:00,9.813069,-125.12004,6.18,125.546507388403
2017-11-07 06:16:00,9.812438,-125.11731,6.18,125.38509954517352
2017-11-07 06:17:00,9.812206,-125.1145,6.18,125.22191307679947
2017-11-07 06:18:00,9.812244,-125.11163,6.05,125.05752864410039
2017-11-07 06:19:00,9.812425,-125.10875,6.05,124.89248887737185
2017-11-07 06:20:00,9.813097,-125.10594,6.05,124.72509905521211
2017-11-07 06:21:00,9.814272,-125.10329,6.31,124.55521718768316
2017-11-07 06:22:00,9.815691,-125.10074,6.05,124.38410501638108
2017-11-07 06:23:00,9.817362,-125.09834,6.05,124.21167745837016
2017-11-07 06:24:00,9.819221,-125.0961,6.05,124.03822251919632
2017-11-07 06:25:00,9.821366,-125.09415,6.18,123.86316002425296
